Campus,Programs,Certificates,Undergraduate,Graduate,uCertificates,gCertificates
ALL,71,33,43,28,30,3
Obrero,45,22,29,16,19,3
Tagum-Mabini,17,8,9,8,8,0
Mintal,9,3,5,4,3,0
